dayw,Date,time,Scouting,Finals Week,Week,Outlet,Shared Table,Duration,Floor Level
Sunday,4/20/2025,14:33,2:46,n,3,Y,N,5:04,1
Monday,4/21/2025,14:02,3:04,n,4,Y,N,1:06,2
Monday,4/21/2025,17:03,3:16,n,4,Y,N,0:47,2
Wednesday,4/23/2025,16:49,8:12,n,4,Y,Y,3:32,2
Sunday,4/27/2025,14:08,1:12,n,4,N,N,4:17,2
Monday,4/28/2025,14:01,4:32,Y,5,Y,N,1:12,2
Wednesday,4/30/2025,14:07,3:46,Y,5,Y,N,3:39,2
Sunday,5/4/2025,11:18,7:12,Y,6,Y,Y,2:01,8
Sunday,5/4/2025,15:22,1:36,Y,6,Y,Y,1:46,2
Monday,5/5/2025,13:56,2:23,Y,6,Y,N,1:12,2
Monday,5/5/2025,14:11,9:01,Y,6,Y,N,0:58,2
Tuesday,5/6/2025,14:03,4:09,Y,6,Y,N,1:04,2
Wednesday,5/7/2025,13:58,3:28,Y,6,Y,N,2:16,2
Tuesday,5/13/2025,17:03,2:23,N,7,Y,N,2:32,2
Wednesday,5/14/2025,14:18,12:26,N,7,Y,Y,4:47,8
Friday,5/16/2025,11:26,5:23,N,7,Y,Y,3:26,8
Sunday,5/18/2025,10:44,6:24,N,7,N,N,5:15,6
Monday,5/19/2025,13:49,9:23,N,8,N,N,1:13,2
Tuesday,5/20/2025,13:56,7:23,N,8,Y,N,1:18,2
Tuesday,5/20/2025,13:57,8:23,N,8,Y,N,2:12,2
Wednesday,5/21/2025,15:19,12:09,N,8,Y,N,3:21,2
Tuesday,5/27/2025,13:42,2:22,Y,9,Y,N,1:08,2
Tuesday,5/27/2025,4:48,13:09,Y,9,Y,N,3:52,2
Wednesday,5/28/2025,10:58,4:23,Y,9,Y,Y,1:07,8
Thursday,5/29/2025,14:01,8:54,Y,9,N,N,3:12,2
Thursday,5/29/2025,18:12,9:32,Y,9,Y,Y,4:53,2
